letter,percentage,occurrences,representations
O,0.0029322548028311427,58,O
T,0.0749241658240647,1482,T
W,0.05,989,W
I,0.04009100101112235,793,I
F,0.08756319514661275,1732,F
S,0.06865520728008088,1358,S
X,0.08230535894843276,1628,X
N,0.06905965621840243,1366,N
',0.009959555106167845,197,'
Y,0.08725985844287158,1726,Y
P,0.016380182002022244,324,P
B,0.017189079878665317,340,B
M,0.04362992922143579,863,M
J,0.09186046511627907,1817,J
Z,0.025480283114256826,504,Z
Q,0.041354903943377146,818,Q
R,0.020525783619817998,406,R
G,0.02254802831142568,446,G
K,0.014964610717896865,296,K
U,0.014256825075834176,282,U
H,0.030535894843276037,604,H
D,0.035490394337714865,702,D
A,0.010161779575328616,201,A
C,0.0019716885743174925,39,C
-,0.005611729019211325,111,-
V,0.0003538928210313448,7,V
L,0.030940343781597573,612,L
5,0.000455005055611729,9,5
4,0.00015166835187057634,3,4
E,0.0010111223458038423,20,E
6,0.0007077856420626896,14,6
7,0.0007077856420626896,14,7
8,0.00015166835187057634,3,8
9,0.00015166835187057634,3,9
0,0.00020222446916076846,4,0
1,0.00020222446916076846,4,1
2,0.00015166835187057634,3,2
3,0.00010111223458038423,2,3
