letter,percentage,occurrences,representations
M,0.09178637126687508,9131,M
B,0.07035514319317257,6999,B
F,0.023632653471517173,2351,F
X,0.12918044651742544,12851,X
L,0.06469577105175862,6436,L
H,0.07290839456780691,7253,H
Y,0.025502357234044693,2537,Y
I,0.01898855057749721,1889,I
T,0.08172414832983182,8130,T
V,0.027251434947376887,2711,V
K,0.06310752807068687,6278,K
O,0.01007227510780953,1002,O
R,0.017078638131904585,1699,R
-,0.0033272685236376796,331,-
W,0.043445482051849095,4322,W
N,0.026899608970557192,2676,N
G,0.06979222163026105,6943,G
U,0.014847056221791095,1477,U
P,0.022366079954966273,2225,P
Z,0.019832932921864478,1973,Z
A,0.056754556146399814,5646,A
E,0.03521275419426825,3503,E
C,0.0010856344427579135,108,C
S,0.0006835476121068345,68,S
',0.0006734954413405575,67,'
D,0.005176867944632644,515,D
Q,0.0016887646887345322,168,Q
J,0.0012163126627195142,121,J
_,0.0004020868306510791,40,_
2,2.0104341532553956e-05,2,2
0,8.041736613021583e-05,8,0
3,1.0052170766276978e-05,1,3
1,4.020868306510791e-05,4,1
8,2.0104341532553956e-05,2,8
4,4.020868306510791e-05,4,4
9,2.0104341532553956e-05,2,9
7,3.015651229883093e-05,3,7
6,1.0052170766276978e-05,1,6
[,2.0104341532553956e-05,2,[
],2.0104341532553956e-05,2,]
